"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5971","Contribuição - Pagamento com Desconto em Folha","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","6252","Simulação - Deve exibir resumo da simulação","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","6326","Simulação - Deve exibir resumo da simulação","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","5687","Contribuição - Pagamento com cartão de débito","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","6894","Simulação - Deve navegar entre períodos do gráfico","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo04.spec.ts","",""
"","3007","Informações do Titular - Validar campos obrigatórios","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","4351","Informações do Titular - Bloquear e-mail inválido","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo01.spec.ts","",""
"","6824","Contribuição - Bloquear valor mensal menor que R$ 100,00","Mobile Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","5956","Contribuição - Bloquear valor mensal menor que R$ 100,00","Mobile Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
"","4408","Endereço - Validar campos obrigatórios","Microsoft Edge","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo02.spec.ts","",""
"","7272","Contribuição - Validar CPF inválido","Google Chrome","2026-06-05","passed","2026-06-05","","CapitalPrev-Passo03.spec.ts","",""
